"","interval","steps"
"2245",2245,0.113207547169811
"2250",2250,1.60377358490566
"2255",2255,4.60377358490566
"2260",2260,4.45911949685535
"2265",2265,4.31446540880503
"2270",2270,4.16981132075472
"2275",2275,4.0251572327044
"2280",2280,3.88050314465409
"2285",2285,3.73584905660377
"2290",2290,3.59119496855346
"2295",2295,3.44654088050314
"2300",2300,3.30188679245283
"2305",2305,2.84905660377358
"2310",2310,0
"2315",2315,0.830188679245283
"2320",2320,0.962264150943396
"2325",2325,1.58490566037736
"2330",2330,2.60377358490566
"2335",2335,4.69811320754717
"2340",2340,3.30188679245283
"2345",2345,0.641509433962264
"2350",2350,0.226415094339623
"2355",2355,1.07547169811321
